Tenant Category,TJ Center Count,Rows Count,Distinct Tenant Count,Top Tenants,Project IDs
Restaurant,19,56,49,Chipotle (3); Starbucks (3); Five Guys Burgers and Fries (2); Tropical Smoothie Cafe (2); Subway (2); Moe's Southwest Grill (1); Jersey Mike's Subs (1); Margaux's Restaurant (1); Nancy's Pizza (1); El Dorado Mexican Restaurant (1),116710; BRX040; EDENS_ROCKLIN_COMMONS_CA; KRG_CENTENNIAL_GATEWAY_NV; KRG_HUEBNER_OAKS_TX; KRG_JEFFERSON_COMMONS_VA; KRG_WOODINVILLE_PLAZA_WA; PE_APACHE_SHOPPES; PE_CORONADO_CENTER; PE_TRADER_JOES_CENTER; TJ_ACTON; TJ_CAMBRIDGE_FRESH_POND; TJ_FRAMINGHAM; TJ_HYANNIS; TJ_NEWTON; TJ_PEABODY; TJ_SAUGUS; TJ_SHREWSBURY; TJ_SOMERVILLE
Service,15,31,30,Chase Bank (2); BKBX fitness (1); Citizens (1); SoulCycle (1); Mass General Brigham (1); DANA FARBER (1); MassGeneral for Children (1); PetSmart (1); Cinemark (1); Carewell Urgent Care (1),KRG_CENTENNIAL_GATEWAY_NV; KRG_FORT_EVANS_PLAZA_II_VA; KRG_HUEBNER_OAKS_TX; KRG_JEFFERSON_COMMONS_VA; KRG_SHOPPES_UNION_HILL_NJ; KRG_WOODINVILLE_PLAZA_WA; TJ_MA_001; TJ_MA_005; TJ_MA_006; TJ_MA_008; TJ_MA_009; TJ_MA_012; TJ_MA_013; TJ_MA_014; TJ_MA_015
Apparel,14,20,15,J.Crew Factory (3); Ross (3); TJ Maxx (2); Talbots (1); Lux Bond & Green (1); Carter's (1); 5.11 Tactical (1); Sierra (1); Wendy's Bridal Shoppes (1); Romanoff's Classic Tuxedo (1),EDENS_ROCKLIN_COMMONS_CA; KRG_CENTENNIAL_GATEWAY_NV; KRG_FORT_EVANS_PLAZA_II_VA; KRG_HUEBNER_OAKS_TX; KRG_JEFFERSON_COMMONS_VA; KRG_SHOPPES_UNION_HILL_NJ; KRG_WOODINVILLE_PLAZA_WA; PE_APACHE_SHOPPES; PE_CORONADO_CENTER; PE_TRADER_JOES_CENTER; TJ_ACTON; TJ_NEWTON; TJ_PEABODY; TJ_SAUGUS
Medical,10,12,10,CVS Pharmacy (2); The Joint (2); IVX Health (1); Anna's Massage Therapy (1); Options Medical Weight Loss (1); Newton Centre Chiropractic (1); Studio Optics (1); Miel Dental Aesthetics (1); Comfort Dental (1); Pacific Dental (1),116710; 125240; EDENS_ROCKLIN_COMMONS_CA; PE_CORONADO_CENTER; PE_TRADER_JOES_CENTER; TJ_CAMBRIDGE_FRESH_POND; TJ_FRAMINGHAM; TJ_NEWTON; TJ_PEABODY; TJ_SAUGUS
Restaurant / Food & Beverage,8,46,44,Chipotle (3); Crisp & Juicy (1); Ledo Pizza (1); Juice Time and Papa Kanafa (1); Blazin (1); China King (1); Jersey Mike's Subs (1); DAE GEE (1); Wonder (1); Crumbl Cookies (1),FRT_BRICK_PLAZA_NJ; FRT_SAN_ANTONIO_CENTER_CA; FRT_TOWN_CENTER_CROSSING_KS; FRT_TYSONS_STATION_VA; KRG_CHASTAIN_MARKET_GA; KRG_EASTGATE_CROSSING_NC; KRG_EDDY_STREET_COMMONS_IN; KRG_ROYAL_OAKS_VILLAGE_II_TX
Beauty / Personal Service,7,22,21,European Wax Center (2); Tyson's Barber (1); Olivia Massage Spa (1); Koncept Nails Bar (1); Brick Nails (1); Supercuts (1); Hand & Stone Massage & Facial (1); ULTA Beauty (1); Bubbles07 (1); Sally Beauty (1),FRT_BRICK_PLAZA_NJ; FRT_SAN_ANTONIO_CENTER_CA; FRT_TOWN_CENTER_CROSSING_KS; FRT_TYSONS_STATION_VA; KRG_CHASTAIN_MARKET_GA; KRG_EASTGATE_CROSSING_NC; KRG_ROYAL_OAKS_VILLAGE_II_TX
Beauty,7,20,19,Sola Salon Studios (2); Lux Nails & Spa (1); Everythings Hair Limited (1); Nail House (1); UC Nails (1); Linda's Nails (1); Great Clips (1); Trove Beauty - Alpha Bar (1); Funky Scissors (1); H&B Nail Spa (1),116710; BRX040; EDENS_ROCKLIN_COMMONS_CA; PE_APACHE_SHOPPES; PE_CORONADO_CENTER; PE_TRADER_JOES_CENTER; PE_VINEYARD_CENTER
Discount Retail,7,11,6,Burlington (3); Dollar Tree (2); TJ Maxx (2); Five Below (2); Marshalls (1); Target (1),116710; EDENS_ROCKLIN_COMMONS_CA; PE_CORONADO_CENTER; TJ_MILFORD; TJ_NEWTON; TJ_PEABODY; TJ_SOMERVILLE
Fitness,7,9,7,Orangetheory Fitness (2); Club Pilates (2); Bodybar Pilates (1); Pure Barre (1); Alloy Personal Training (1); Pvolve (1); Fitness Connection (1),116710; 125240; KRG_CHASTAIN_MARKET_GA; KRG_EASTGATE_CROSSING_NC; KRG_ROYAL_OAKS_VILLAGE_II_TX; PE_CORONADO_CENTER; TJ_NEWTON
Personal Service,6,14,11,Massage Envy (2); European Wax Center (2); Supercuts (2); Relax Foot Massage (1); Restore Hyper Wellness (1); Hollywood Nails & Spa (1); AAA Southern New England (1); Vitamin Shoppe (1); Sen Nails (1); Uniq Laser (1),116710; 117210; TJ_NEWTON; TJ_PEABODY; TJ_SAUGUS; TJ_SHREWSBURY
