Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
117210,Memorial Plaza,Kimco,,1,Trader Joe's,11065,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,117210-memorial-plaza-marketing-package.pdf,,
117210,Memorial Plaza,Kimco,,2,Micro Center,41724,Other,,Other,10k+,FALSE,FALSE,TRUE,,,,,117210-memorial-plaza-marketing-package.pdf,,
117210,Memorial Plaza,Kimco,,3,Massage Envy,3391,Personal Service,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,117210-memorial-plaza-marketing-package.pdf,,
117210,Memorial Plaza,Kimco,,4,Available,4675,Vacancy,,Vacancy,3k-10k,FALSE,TRUE,FALSE,,,,,117210-memorial-plaza-marketing-package.pdf,,
117210,Memorial Plaza,Kimco,,5,Available (Former Restaurant),1700,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,117210-memorial-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,1,Perspire Sauna Studio,1750,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,2,IVX Health,2000,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,3,Code Ninjas,1250,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,4,Anna's Massage Therapy,1895,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,5,Orangetheory Fitness,3105,Fitness,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,8,J.Crew Factory,6300,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,10,Michaels,18780,Crafts,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,11,Famous Footwear,4750,Footwear,,Soft Goods,3k-10k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,12,Available (Former Nail Salon),1000,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,13,Available,1750,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,14,Costa Vida,1960,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,15,Trader Joe's,13045,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
125240,Highland Lakes Plaza,Kimco,,16,Barnes & Noble,21943,Books & Media,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,125240-highland-lakes-plaza-marketing-package.pdf,,
116710,Brennan Station,Kimco,,2,Five Guys Burgers and Fries,2481,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,3,Moe's Southwest Grill,3355,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,4,Available (Former Restaurant),1800,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,5,Jersey Mike's Subs,1700,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,6,Hummus Republic,2120,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,7,Margaux's Restaurant,6204,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,8,Huntington Learning Center,2462,Education,,Service,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,9,SunTan City,2600,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,10,Bodybar Pilates,3019,Fitness,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,11,Conte's Bike Shop,7050,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,12,Lux Nails & Spa,1782,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,13,Office Depot,22391,Office Supply,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,14,Dollar Tree,10500,Discount Retail,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,15,Woof Gang Bakery & Grooming,1300,Coffee / Dessert,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,16,Trader Joe’s,14679,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,18,Nancy's Pizza,4260,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,19,Town and Country Hardware,12000,Hardware,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,20,Relax Foot Massage,2000,Personal Service,,Service,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,21,Sola Salon Studios,4890,Beauty,,Soft Goods,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,22,Melt Well Sauna and [...],1408,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,23,Kazu Hibachi,1350,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,24,Beow's Books and Brews Café,2650,Books & Media,,Hard Goods,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,25,Expedia Travel,1300,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,26,Tropical Smoothie Cafe,1625,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,27,Options Medical Weight Loss,1550,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,28,El Dorado Mexican Restaurant,3478,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,29,Topsail Steamer,1300,Coffee / Dessert,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,30,Brigs Great Beginninings,2926,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,31,Dunkin' Donuts,1560,Coffee / Dessert,,Food,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
116710,Brennan Station,Kimco,,32,Jiffy Lube,2652,Auto Service,,Service,0-3k,FALSE,FALSE,FALSE,,,,,116710-brennan-station-marketing-package.pdf,,
BRX040,Village Square Shopping Center,Brixmor,,9,Available,1966,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,Village Square Shopping Center - Property Brochure.pdf,,
BRX040,Village Square Shopping Center,Brixmor,,6-Apr,Trader Joe's,12400,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,Village Square Shopping Center - Property Brochure.pdf,,
