Rank,Adjacent Tenant,Adjacent Category,Count,Share of Adjacent Tenants
1,Available,Vacancy,7,0.0625
2,Burlington,Apparel / Soft Goods,3,0.0268
2,J.Crew Factory,Apparel / Soft Goods,3,0.0268
4,Barnes & Noble,Other Retail,2,0.0179
4,Bob's Discount Furniture,Furniture / Home,2,0.0179
4,CVS,Health / Pharmacy,2,0.0179
4,Ross,Apparel / Soft Goods,2,0.0179
4,Ulta Beauty,Beauty / Personal Care,2,0.0179
9,028 Barber Shop,Beauty / Personal Care,1,0.0089
9,5.11 Tactical,Apparel / Soft Goods,1,0.0089
9,99 Restaurants,Food & Beverage,1,0.0089
9,A.T. O'Keeffe's,Food & Beverage,1,0.0089
9,AAA Newton,Service / Bank,1,0.0089
9,AAA Southern New England,Service / Bank,1,0.0089
9,AT&T,Service / Bank,1,0.0089
9,Aronson Insurance,Service / Bank,1,0.0089
9,Athleta,Apparel / Soft Goods,1,0.0089
9,BKBX fitness,Fitness / Recreation,1,0.0089
9,Bank of America,Service / Bank,1,0.0089
9,Bath & Body Works,Beauty / Personal Care,1,0.0089
9,Best Buy,Hard Goods,1,0.0089
9,BluePearl Pet Hospital Framingham,Pet,1,0.0089
9,Books-A-Million,Other Retail,1,0.0089
9,Bowology,Food & Beverage,1,0.0089
9,Cardi's Furniture,Furniture / Home,1,0.0089
9,Chase Bank,Service / Bank,1,0.0089
9,Chipotle,Food & Beverage,1,0.0089
9,Citizens,Service / Bank,1,0.0089
9,Club Pilates,Fitness / Recreation,1,0.0089
9,Creative Office Resources,Furniture / Home,1,0.0089
9,Credit Union 1,Service / Bank,1,0.0089
9,Crisp & Juicy,Food & Beverage,1,0.0089
9,Dani’s Queer Bar,Food & Beverage,1,0.0089
9,Devinn Nail Bar,Beauty / Personal Care,1,0.0089
9,Dollar Tree,Other Retail,1,0.0089
9,Drybar Leawood,Beauty / Personal Care,1,0.0089
9,Dumpling Daughter Brookline,Food & Beverage,1,0.0089
9,Dunkin,Food & Beverage,1,0.0089
9,ELEVENO Pickleball,Fitness / Recreation,1,0.0089
9,ERIK'S Bike Board Ski,Fitness / Recreation,1,0.0089
9,Elizabeth Grady,Beauty / Personal Care,1,0.0089
9,European Wax Center,Beauty / Personal Care,1,0.0089
9,Everything's Hair Limited,Beauty / Personal Care,1,0.0089
9,FedEx Office,Service / Bank,1,0.0089
9,Five Below,Other Retail,1,0.0089
9,Five Guys,Food & Beverage,1,0.0089
9,Free People,Apparel / Soft Goods,1,0.0089
9,Golf Galaxy,Fitness / Recreation,1,0.0089
9,Gravity Vault Brick,Fitness / Recreation,1,0.0089
9,Great Clips,Beauty / Personal Care,1,0.0089
9,Hippie Hut,Other Retail,1,0.0089
9,HomeGoods,Furniture / Home,1,0.0089
9,Ideal Image,Beauty / Personal Care,1,0.0089
9,Java Loco,Food & Beverage,1,0.0089
9,Jos. A. Bank,Apparel / Soft Goods,1,0.0089
9,LA-Z-Boy,Furniture / Home,1,0.0089
9,LaserAway,Beauty / Personal Care,1,0.0089
9,Ledo Pizza,Food & Beverage,1,0.0089
9,Mass General Brigham,Health / Pharmacy,1,0.0089
9,Mattress Firm Hanover Mall,Furniture / Home,1,0.0089
9,Mecha Noodle Bar,Food & Beverage,1,0.0089
9,Men's Wearhouse,Apparel / Soft Goods,1,0.0089
9,Michaels,Hard Goods,1,0.0089
9,Music and Arts Centers,Hard Goods,1,0.0089
9,Nail House,Beauty / Personal Care,1,0.0089
9,Nancy's Pizza,Food & Beverage,1,0.0089
9,Needham Bank,Service / Bank,1,0.0089
9,Old Navy,Apparel / Soft Goods,1,0.0089
9,Orangetheory Fitness,Fitness / Recreation,1,0.0089
9,Oye's Restaurant & Bar,Food & Beverage,1,0.0089
9,Parry Custom Homes,Service / Bank,1,0.0089
9,Patriots ProShop,Apparel / Soft Goods,1,0.0089
9,PetSmart,Pet,1,0.0089
9,Petco,Pet,1,0.0089
9,Pier 1,Furniture / Home,1,0.0089
9,RH Outlet Foxborough,Furniture / Home,1,0.0089
9,Raymour & Flanigan Furniture,Furniture / Home,1,0.0089
9,Salty,Food & Beverage,1,0.0089
9,Sherwin-Williams,Hard Goods,1,0.0089
9,Sierra,Apparel / Soft Goods,1,0.0089
9,Sloane's Restaurant,Food & Beverage,1,0.0089
9,Sola Salons,Beauty / Personal Care,1,0.0089
9,Starbucks,Food & Beverage,1,0.0089
9,Studio Optics,Health / Pharmacy,1,0.0089
9,The Paper Store,Other Retail,1,0.0089
9,Torrid,Apparel / Soft Goods,1,0.0089
9,Town and Country Hardware,Hard Goods,1,0.0089
9,Verizon,Service / Bank,1,0.0089
9,Versona,Apparel / Soft Goods,1,0.0089
9,Virginia ABC,Food & Beverage,1,0.0089
9,Visible Coffee Roasters,Food & Beverage,1,0.0089
9,Wine Outlet,Food & Beverage,1,0.0089
9,Woof Gang Bakery & Grooming,Pet,1,0.0089
9,WorldMarket,Furniture / Home,1,0.0089
9,Xfinity,Service / Bank,1,0.0089
9,YogaSix,Fitness / Recreation,1,0.0089
9,bkd Bagels,Food & Beverage,1,0.0089
