Project ID,Project Name,City/State,Prototype,TypologyOfCenter,TraderJoesPosition,ResidentialRelationship,Adjacent Column,Adjacent Side,Adjacent Position,Proximity Group,Adjacent Tenant Original,Adjacent Tenant,Adjacent Category,Is Vacancy
TJ_NEWTON,Newton Nexus,"Newton, MA",Cluster,Lifestyle,Junior Anchor,Nice Connection,Adjacent_Left_2,Left,2,Secondary,AAA Newton (Insurance agency),AAA Newton,Service / Bank,No
TJ_NEWTON,Newton Nexus,"Newton, MA",Cluster,Lifestyle,Junior Anchor,Nice Connection,Adjacent_Left_1,Left,1,Immediate,Available,Available,Vacancy,Yes
TJ_SHREWSBURY,77 Boston Turnpike Retail / Medical Space,"Shrewsbury, MA",Cluster,Suburban,Junior Anchor,Acceptable Connection,Adjacent_Left_2,Left,2,Secondary,FedEx Office,FedEx Office,Service / Bank,No
TJ_SHREWSBURY,77 Boston Turnpike Retail / Medical Space,"Shrewsbury, MA",Cluster,Suburban,Junior Anchor,Acceptable Connection,Adjacent_Left_1,Left,1,Immediate,Available,Available,Vacancy,Yes
TJ_SAUGUS,Shops at Saugus,"Saugus, MA",C-Shape,Suburban,Major Anchor,No Multifamily Within 1000 ft,Adjacent_Left_1,Left,1,Immediate,LA-Z-Boy,LA-Z-Boy,Furniture / Home,No
TJ_SAUGUS,Shops at Saugus,"Saugus, MA",C-Shape,Suburban,Major Anchor,No Multifamily Within 1000 ft,Adjacent_Right_1,Right,1,Immediate,PetSmart,PetSmart,Pet,No
TJ_SAUGUS,Shops at Saugus,"Saugus, MA",C-Shape,Suburban,Major Anchor,No Multifamily Within 1000 ft,Adjacent_Right_2,Right,2,Secondary,5.11 Tactical,5.11 Tactical,Apparel / Soft Goods,No
116710,Brennan Station,"Raleigh, NC",C-Shape,Suburban,Major Anchor,No Multifamily Within 1000 ft,Adjacent_Left_2,Left,2,Secondary,Dollar Tree,Dollar Tree,Other Retail,No
116710,Brennan Station,"Raleigh, NC",C-Shape,Suburban,Major Anchor,No Multifamily Within 1000 ft,Adjacent_Left_1,Left,1,Immediate,Woof Gang Bakery & Grooming,Woof Gang Bakery & Grooming,Pet,No
116710,Brennan Station,"Raleigh, NC",C-Shape,Suburban,Major Anchor,No Multifamily Within 1000 ft,Adjacent_Right_1,Right,1,Immediate,Nancy's Pizza,Nancy's Pizza,Food & Beverage,No
