Rank,Tenant,Appears in TJ Centers,Tenant Rows Count,Primary Categoriey,All Categories,Project IDs,Projects
1,Chipotle,8,8,Food & Beverage,Food & Beverage (8),EDENS_ROCKLIN_COMMONS_CA; FRT_BRICK_PLAZA_NJ; KRG_EASTGATE_CROSSING_NC; KRG_EDDY_STREET_COMMONS_IN; TJ_CAMBRIDGE_FRESH_POND; TJ_MA_013; TJ_MA_014; TJ_SHREWSBURY,Rocklin Commons; Brick Plaza; Eastgate Crossing; Eddy Street Commons; Alewife Brook Parkway Shopping Center; Quincy Center Mixed-Use Development; The Crossing at Walkers Brook; 77 Boston Turnpike Retail / Medical Space
2,J.Crew Factory,6,6,Apparel / Soft Goods,Apparel / Soft Goods (6),125240; FRT_BRICK_PLAZA_NJ; KRG_EASTGATE_CROSSING_NC; PE_CORONADO_CENTER; TJ_ACTON; TJ_PEABODY,Highland Lakes Plaza; Brick Plaza; Eastgate Crossing; Coronado Center; Brookside Shops; Peabody Place
2,Starbucks,6,6,Food & Beverage,Food & Beverage (6),TJ_HYANNIS; TJ_MA_001; TJ_MA_002; TJ_MA_014; TJ_SAUGUS; TJ_SOMERVILLE,Christmas Tree Promenade / 655 Iyannough Rd Plaza; Continuum Allston; Trader Joe’s Arlington Heights; The Crossing at Walkers Brook; Shops at Saugus; Assembly Square
4,European Wax Center,5,5,Beauty / Personal Care,Beauty / Personal Care (5),EDENS_ROCKLIN_COMMONS_CA; FRT_BRICK_PLAZA_NJ; FRT_TYSONS_STATION_VA; TJ_NEWTON; TJ_SAUGUS,Rocklin Commons; Brick Plaza; Tysons Station; Newton Nexus; Shops at Saugus
4,Supercuts,5,5,Beauty / Personal Care,Beauty / Personal Care (5),EDENS_ROCKLIN_COMMONS_CA; FRT_BRICK_PLAZA_NJ; TJ_MA_014; TJ_SAUGUS; TJ_SHREWSBURY,Rocklin Commons; Brick Plaza; The Crossing at Walkers Brook; Shops at Saugus; 77 Boston Turnpike Retail / Medical Space
6,AT&T,4,4,Service / Bank / Telecom,Service / Bank / Telecom (4),FRT_BRICK_PLAZA_NJ; KRG_FORT_EVANS_PLAZA_II_VA; PE_CORONADO_CENTER; TJ_NEWTON,Brick Plaza; Fort Evans Plaza II; Coronado Center; Newton Nexus
6,Burlington,4,4,Apparel / Soft Goods,Apparel / Soft Goods (4),FRT_BRICK_PLAZA_NJ; TJ_MILFORD; TJ_PEABODY; TJ_SOMERVILLE,Brick Plaza; Granite Heights Marketplace; Peabody Place; Assembly Square
6,HomeGoods,4,4,Furniture / Home,Furniture / Home (4),FRT_BRICK_PLAZA_NJ; KRG_FORT_EVANS_PLAZA_II_VA; KRG_JEFFERSON_COMMONS_VA; KRG_WOODINVILLE_PLAZA_WA,Brick Plaza; Fort Evans Plaza II; Jefferson Commons; Woodinville Plaza
6,Petco,4,4,Pet,Pet (4),KRG_EASTGATE_CROSSING_NC; KRG_JEFFERSON_COMMONS_VA; TJ_BURLINGTON; TJ_MA_010,Eastgate Crossing; Jefferson Commons; Petco / Trader Joe’s center; Hanover Crossing
6,TJ Maxx,4,4,Apparel / Soft Goods,Apparel / Soft Goods (4),KRG_JEFFERSON_COMMONS_VA; KRG_WOODINVILLE_PLAZA_WA; TJ_PEABODY; TJ_SOMERVILLE,Jefferson Commons; Woodinville Plaza; Peabody Place; Assembly Square
11,Barnes & Noble,3,3,Books / Media,Books / Media (3),125240; FRT_BRICK_PLAZA_NJ; KRG_HUEBNER_OAKS_TX,Highland Lakes Plaza; Brick Plaza; Huebner Oaks
11,Chase Bank,3,3,Service / Bank / Telecom,Service / Bank / Telecom (3),TJ_MA_001; TJ_MA_009; TJ_NEWTON,Continuum Allston; Hampshire Mall; Newton Nexus
11,Crumbl Cookies,3,3,Food & Beverage,Food & Beverage (3),EDENS_ROCKLIN_COMMONS_CA; FRT_BRICK_PLAZA_NJ; TJ_SAUGUS,Rocklin Commons; Brick Plaza; Shops at Saugus
