Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
118530,Hope Valley Commons,Kimco,,1,Neo Japan,2414,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,2,Beverly Nails,1200,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,4,Club Pilates,2400,Fitness,,Service,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,5,Marco's Pizza,1200,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,6,Bapu Teahouse,1542,Coffee / Dessert,,Food,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,7,Available (Former Medical),1600,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,8,Harris Teeter,48505,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,9,Triangle Tailors,1400,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,10,Backyard Birds and Gifts,1400,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,11,Armed Forces Career Center,5700,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,12,Makus Empanadas,1410,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,14,Urban Turban Indian Grill [...],4200,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
118530,Hope Valley Commons,Kimco,,15,Salon Povera,1400,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,118530-hope-valley-commons-marketing-package.pdf,,
