Project ID,Project Name,Owner,City/State,Unit,Tenant,Canonical Tenant,Tenant SF,Tenant Category,Main Mix Group,Size Bucket
117210,Memorial Plaza,Kimco,"Cambridge, MA",2,Micro Center,Micro Center,41724,Other,Other,10k+
117210,Memorial Plaza,Kimco,"Cambridge, MA",3,Massage Envy,Massage Envy,3391,Personal Service,Service,3k-10k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",1,Perspire Sauna Studio,Perspire Sauna Studio,1750,Other,Other,0-3k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",2,IVX Health,IVX Health,2000,Medical,Service,0-3k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",3,Code Ninjas,Code Ninjas,1250,Other,Other,0-3k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",4,Anna's Massage Therapy,Anna's Massage Therapy,1895,Medical,Service,0-3k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",5,Orangetheory Fitness,Orangetheory Fitness,3105,Fitness,Service,3k-10k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",8,J.Crew Factory,J.Crew Factory,6300,Other,Other,3k-10k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",10,Michaels,Michaels,18780,Crafts,Hard Goods,10k+
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",11,Famous Footwear,Famous Footwear,4750,Footwear,Soft Goods,3k-10k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",14,Costa Vida,Costa Vida,1960,Other,Other,0-3k
125240,Highland Lakes Plaza,Kimco,"Palm Harbor, FL",16,Barnes & Noble,Barnes & Noble,21943,Books & Media,Hard Goods,10k+
116710,Brennan Station,Kimco,"Raleigh, NC",2,Five Guys Burgers and Fries,Five Guys,2481,Restaurant,Food,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",3,Moe's Southwest Grill,Moe's Southwest Grill,3355,Restaurant,Food,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",5,Jersey Mike's Subs,Jersey Mike's Subs,1700,Restaurant,Food,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",6,Hummus Republic,Hummus Republic,2120,Other,Other,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",7,Margaux's Restaurant,Margaux's Restaurant,6204,Restaurant,Food,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",8,Huntington Learning Center,Huntington Learning Center,2462,Education,Service,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",9,SunTan City,SunTan City,2600,Other,Other,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",10,Bodybar Pilates,Bodybar Pilates,3019,Fitness,Service,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",11,Conte's Bike Shop,Conte's Bike Shop,7050,Other,Other,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",12,Lux Nails & Spa,Lux Nails & Spa,1782,Beauty,Soft Goods,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",13,Office Depot,Office Depot,22391,Office Supply,Hard Goods,10k+
116710,Brennan Station,Kimco,"Raleigh, NC",14,Dollar Tree,Dollar Tree,10500,Discount Retail,Hard Goods,10k+
116710,Brennan Station,Kimco,"Raleigh, NC",15,Woof Gang Bakery & Grooming,Woof Gang Bakery & Grooming,1300,Coffee / Dessert,Food,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",18,Nancy's Pizza,Nancy's Pizza,4260,Restaurant,Food,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",19,Town and Country Hardware,Town and Country Hardware,12000,Hardware,Hard Goods,10k+
116710,Brennan Station,Kimco,"Raleigh, NC",20,Relax Foot Massage,Relax Foot Massage,2000,Personal Service,Service,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",21,Sola Salon Studios,Sola Salon Studios,4890,Beauty,Soft Goods,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",22,Melt Well Sauna and [...],Melt Well Sauna and [...],1408,Other,Other,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",23,Kazu Hibachi,Kazu Hibachi,1350,Other,Other,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",24,Beow's Books and Brews Café,Beow's Books and Brews Café,2650,Books & Media,Hard Goods,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",25,Expedia Travel,Expedia Travel,1300,Other,Other,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",26,Tropical Smoothie Cafe,Tropical Smoothie Cafe,1625,Restaurant,Food,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",27,Options Medical Weight Loss,Options Medical Weight Loss,1550,Medical,Service,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",28,El Dorado Mexican Restaurant,El Dorado Mexican Restaurant,3478,Restaurant,Food,3k-10k
116710,Brennan Station,Kimco,"Raleigh, NC",29,Topsail Steamer,Topsail Steamer,1300,Coffee / Dessert,Food,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",30,Brigs Great Beginninings,Brigs Great Beginninings,2926,Other,Other,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",31,Dunkin' Donuts,Dunkin' Donuts,1560,Coffee / Dessert,Food,0-3k
116710,Brennan Station,Kimco,"Raleigh, NC",32,Jiffy Lube,Jiffy Lube,2652,Auto Service,Service,0-3k
BRX040,Village Square Shopping Center,Brixmor,"Larchmont, NY",7,Everythings Hair Limited,Everythings Hair Limited,900,Beauty,Soft Goods,0-3k
BRX040,Village Square Shopping Center,Brixmor,"Larchmont, NY",8,Nail House,Nail House,862,Beauty,Soft Goods,0-3k
BRX040,Village Square Shopping Center,Brixmor,"Larchmont, NY",10,Espresso Cafeto,Espresso Cafeto,872,Restaurant,Food,0-3k
TJ_BURLINGTON,Petco / Trader Joe’s center,Unknow,"Burlington, MA",1,Bob Discount Furniture,Bob Discount Furniture,46605,Home Furnishing,Hard Goods,10k+
TJ_BURLINGTON,Petco / Trader Joe’s center,Unknow,"Burlington, MA",2,Petco,Petco,12034,Pet Supply,Hard Goods,10k+
TJ_ACTON,Brookside Shops,Crosspoint Associates,"Acton, MA",2,Talbots,Talbots,,Apparel,Soft Goods,
TJ_ACTON,Brookside Shops,Crosspoint Associates,"Acton, MA",3,Staples,Staples,,Office Supply,Hard Goods,
TJ_ACTON,Brookside Shops,Crosspoint Associates,"Acton, MA",4,X-Golf,X-Golf,,Entertainment Retail,Hard Goods,
TJ_ACTON,Brookside Shops,Crosspoint Associates,"Acton, MA",5,J.Crew Factory,J.Crew Factory,,Apparel,Soft Goods,
TJ_ACTON,Brookside Shops,Crosspoint Associates,"Acton, MA",6,Wonder,Wonder,,Restaurant,Food,
TJ_ACTON,Brookside Shops,Crosspoint Associates,"Acton, MA",7,NY Bagel Factory,NY Bagel Factory,,Restaurant,Food,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",2,Marshalls,Marshalls,,Discount Retail,Hard Goods,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",3,CVS Pharmacy,CVS Pharmacy,,Medical,Service,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",4,Chase Bank,Chase Bank,,Financial,Service,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",5,Pure Barre,Pure Barre,,Fitness,Service,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",6,Club Pilates,Club Pilates,,Fitness,Service,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",7,Five Guys,Five Guys,,Restaurant,Food,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",8,Sweetgreen,Sweetgreen,,Restaurant,Food,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",9,Pressed Café,Pressed Café,,Restaurant,Food,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",10,European Wax Center,European Wax Center,,Personal Service,Service,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",11,Lux Bond & Green,Lux Bond & Green,,Apparel,Soft Goods,
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"Newton, MA",12,Restore Hyper Wellness,Restore Hyper Wellness,,Personal Service,Service,
