Rank,Tenant,Appears in TJ Centers,Tenant Rows Count,Primary Categoriey,Name Variants in CSV,Example / Matching Centers,Project IDs
1,Starbucks,6,6,Restaurant; Food,Starbucks (6),"Christmas Tree Promenade / 655 Iyannough Rd Plaza (Hyannis, MA); Continuum Allston (Allston, MA); Trader Joe’s Arlington Heights (Arlington, MA); The Crossing at Walkers Brook (Reading, MA); Shops at Saugus (Saugus, MA); Assembly Square (Somerville, MA)",TJ_HYANNIS; TJ_MA_001; TJ_MA_002; TJ_MA_014; TJ_SAUGUS; TJ_SOMERVILLE
2,Chipotle,4,4,Restaurant; Food,Chipotle (4),"Alewife Brook Parkway Shopping Center (Cambridge, MA); Quincy Center Mixed-Use Development (Quincy, MA); The Crossing at Walkers Brook (Reading, MA); 77 Boston Turnpike Retail / Medical Space (Shrewsbury, MA)",TJ_CAMBRIDGE_FRESH_POND; TJ_MA_013; TJ_MA_014; TJ_SHREWSBURY
3,J.Crew Factory,4,4,Apparel; Other,J.Crew Factory (3); J. Crew Factory,"Highland Lakes Plaza (Palm Harbor, FL); Coronado Center (Santa Fe, NM); Brookside Shops (Acton, MA); Peabody Place (Peabody, MA)",125240; PE_CORONADO_CENTER; TJ_ACTON; TJ_PEABODY
4,Burlington,3,3,Discount Retail,Burlington (3),"Granite Heights Marketplace (Milford, MA); Peabody Place (Peabody, MA); Assembly Square (Somerville, MA)",TJ_MILFORD; TJ_PEABODY; TJ_SOMERVILLE
5,Chase Bank,3,3,Service; Financial,Chase Bank (3),"Continuum Allston (Allston, MA); Hampshire Mall (Hadley, MA); Newton Nexus (Newton, MA)",TJ_MA_001; TJ_MA_009; TJ_NEWTON
6,Supercuts,3,3,Personal Service; Service,Supercuts (3),"The Crossing at Walkers Brook (Reading, MA); Shops at Saugus (Saugus, MA); 77 Boston Turnpike Retail / Medical Space (Shrewsbury, MA)",TJ_MA_014; TJ_SAUGUS; TJ_SHREWSBURY
7,AT&T,2,2,Telecom; Office/Tech,AT&T (2),"Coronado Center (Santa Fe, NM); Newton Nexus (Newton, MA)",PE_CORONADO_CENTER; TJ_NEWTON
8,CVS Pharmacy,2,2,Medical,CVS Pharmacy (2),"Alewife Brook Parkway Shopping Center (Cambridge, MA); Newton Nexus (Newton, MA)",TJ_CAMBRIDGE_FRESH_POND; TJ_NEWTON
9,DICK'S Sporting Goods,2,2,Soft Goods; Hard Goods,DICK’S SPORTING GOODS; Dick’s Sporting Goods,"Hampshire Mall (Hadley, MA); Hanover Crossing (Hanover, MA)",TJ_MA_009; TJ_MA_010
10,Dollar Tree,2,2,Discount Retail,Dollar Tree (2),"Brennan Station (Raleigh, NC); Coronado Center (Santa Fe, NM)",116710; PE_CORONADO_CENTER
11,European Wax Center,2,2,Personal Service,European Wax Center (2),"Newton Nexus (Newton, MA); Shops at Saugus (Saugus, MA)",TJ_NEWTON; TJ_SAUGUS
12,Five Guys,2,2,Restaurant,Five Guys Burgers and Fries; Five Guys,"Brennan Station (Raleigh, NC); Newton Nexus (Newton, MA)",116710; TJ_NEWTON
13,Massage Envy,2,2,Personal Service,Massage Envy (2),"Memorial Plaza (Cambridge, MA); Shops at Saugus (Saugus, MA)",117210; TJ_SAUGUS
14,Orangetheory Fitness,2,2,Fitness,Orangetheory Fitness (2),"Highland Lakes Plaza (Palm Harbor, FL); Coronado Center (Santa Fe, NM)",125240; PE_CORONADO_CENTER
15,Petco,2,2,Pet Supply; Hard Goods,Petco (2),"Petco / Trader Joe’s center (Burlington, MA); Hanover Crossing (Hanover, MA)",TJ_BURLINGTON; TJ_MA_010
16,PetSmart,2,2,Pet Supply; Service,PetSmart (2),"Hampshire Mall (Hadley, MA); Shops at Saugus (Saugus, MA)",TJ_MA_009; TJ_SAUGUS
17,Sola Salon Studios,2,2,Beauty,Sola Salon Studios (2),"Brennan Station (Raleigh, NC); Trader Joe's Center (Dublin, OH)",116710; PE_TRADER_JOES_CENTER
18,Staples,2,2,Office Supply,Staples (2),"Brookside Shops (Acton, MA); Assembly Square (Somerville, MA)",TJ_ACTON; TJ_SOMERVILLE
19,The Joint,2,2,Medical,The Joint (2),"Coronado Center (Santa Fe, NM); Shops at Saugus (Saugus, MA)",PE_CORONADO_CENTER; TJ_SAUGUS
20,TJ Maxx,2,2,Discount Retail,TJ Maxx (2),"Peabody Place (Peabody, MA); Assembly Square (Somerville, MA)",TJ_PEABODY; TJ_SOMERVILLE
21,Tropical Smoothie Cafe,2,2,Restaurant,Tropical Smoothie Cafe (2),"Brennan Station (Raleigh, NC); Shops at Saugus (Saugus, MA)",116710; TJ_SAUGUS
22,110 Grill,1,1,Food,110 Grill,"Hanover Crossing (Hanover, MA)",TJ_MA_010
23,5.11 Tactical,1,1,Apparel,5.11 Tactical,"Shops at Saugus (Saugus, MA)",TJ_SAUGUS
24,99 Restaurant,1,1,Restaurant,99 Restaurant,"Staples Plaza (Framingham, MA)",TJ_FRAMINGHAM
25,AAA Southern New England,1,1,Personal Service,AAA Southern New England,"Peabody Place (Peabody, MA)",TJ_PEABODY
26,Anna's Massage Therapy,1,1,Medical,Anna's Massage Therapy,"Highland Lakes Plaza (Palm Harbor, FL)",125240
27,Anthony’s Coal Fired Pizza,1,1,Food,Anthony’s Coal Fired Pizza,"The Crossing at Walkers Brook (Reading, MA)",TJ_MA_014
28,Ashley Furniture HomeStore,1,1,Home Furnishing,Ashley Furniture HomeStore,"Assembly Square (Somerville, MA)",TJ_SOMERVILLE
29,At Home (Shadow Anchor),1,1,Home Furnishing,At Home (Shadow Anchor),"Peabody Place (Peabody, MA)",TJ_PEABODY
30,Barnes & Noble,1,1,Books & Media,Barnes & Noble,"Highland Lakes Plaza (Palm Harbor, FL)",125240
31,Beow's Books and Brews Café,1,1,Books & Media,Beow's Books and Brews Café,"Brennan Station (Raleigh, NC)",116710
32,Best Buy,1,1,Electronics,Best Buy,"Christmas Tree Promenade / 655 Iyannough Rd Plaza (Hyannis, MA)",TJ_HYANNIS
33,Bikanervala,1,1,Restaurant,Bikanervala,"Trader Joe's Center (Dublin, OH)",PE_TRADER_JOES_CENTER
34,BKBX fitness,1,1,Service,BKBX fitness,"Continuum Allston (Allston, MA)",TJ_MA_001
35,Bob Discount Furniture,1,1,Home Furnishing,Bob Discount Furniture,"Petco / Trader Joe’s center (Burlington, MA)",TJ_BURLINGTON
36,Bob's Discount Furniture,1,1,Home Furnishing,Bob's Discount Furniture,"Assembly Square (Somerville, MA)",TJ_SOMERVILLE
37,Bodybar Pilates,1,1,Fitness,Bodybar Pilates,"Brennan Station (Raleigh, NC)",116710
